I.D. Number,Customer Class,Node,Arrival Date,Waiting Time,Service Start Date,Service Time,Service End Date,Time Blocked,Exit Date,Destination,Queue Size at Arrival,Queue Size at Departure
884,3,1,10244.989334130843,0.0,10244.989334130843,0.4231094047190709,10245.412443535562,0.0,10245.412443535562,2,0,0
884,3,2,10245.412443535562,0.0,10245.412443535562,5.304155073374204,10250.716598608937,0.0,10250.716598608937,3,0,0
885,3,1,10252.630258567588,0.0,10252.630258567588,0.10307230392572819,10252.733330871513,0.0,10252.733330871513,2,0,0
885,3,2,10252.733330871513,0.0,10252.733330871513,4.984646603006695,10257.71797747452,0.0,10257.71797747452,3,0,0
883,4,1,10235.584482718592,0.0,10235.584482718592,0.08771958279066894,10235.672202301383,0.0,10235.672202301383,2,0,0
883,4,2,10235.672202301383,0.0,10235.672202301383,4.026086070472957,10239.698288371856,0.0,10239.698288371856,3,0,0
878,3,1,10137.116332973963,0.0,10137.116332973963,0.14605861919699237,10137.26239159316,0.0,10137.26239159316,2,0,0
878,3,2,10137.26239159316,0.0,10137.26239159316,6.022105202338935,10143.284496795499,0.0,10143.284496795499,3,1,0
878,3,3,10143.284496795499,30.456486216617122,10173.740983012116,52.084642200112285,10225.825625212228,0.0,10225.825625212228,4,4,2
878,3,4,10225.825625212228,0.0,10225.825625212228,14.942055850578981,10240.767681062807,0.0,10240.767681062807,5,0,0
1,3,1,18.9498104483361,0.0,18.9498104483361,0.02360758560215359,18.973418033938252,0.0,18.973418033938252,2,0,0
1,3,2,18.973418033938252,0.0,18.973418033938252,5.717843577379703,24.691261611317955,0.0,24.691261611317955,3,0,0
1,3,3,24.691261611317955,0.0,24.691261611317955,40.684908006411305,65.37616961772926,0.0,65.37616961772926,-1,1,5
2,1,1,20.02870363501813,0.0,20.02870363501813,0.3108720922750621,20.33957572729319,0.0,20.33957572729319,2,0,0
2,1,2,20.33957572729319,0.0,20.33957572729319,4.22638648037643,24.56596220766962,0.0,24.56596220766962,3,1,1
2,1,3,24.56596220766962,0.0,24.56596220766962,46.104766951344764,70.67072915901439,0.0,70.67072915901439,-1,0,4
3,4,1,40.46609756997069,0.0,40.46609756997069,0.35407799660322326,40.820175566573916,0.0,40.820175566573916,2,0,0
3,4,2,40.820175566573916,0.0,40.820175566573916,5.282554747204777,46.10273031377869,0.0,46.10273031377869,3,0,1
